shot,SnapLowerForm.png,SnapSustain1.png,SnapSustain2.png,SnapSustain3.png,SnapUpperForm.png
000903,0,1,1,1,0
000904,1,1,1,1,0
000905,1,1,1,1,0
000906,0,1,1,1,0
000907,1,1,1,1,0
000908,0,1,1,1,0
000909,1,1,1,1,0
000910,0,0,0,1,0
000911,0,0,0,1,0
000912,0,0,0,0,0
000913,0,0,1,1,0
000914,0,0,0,1,0
000915,1,0,1,1,0
000916,1,0,1,1,0
000917,1,0,1,1,0
000918,1,0,0,1,0
000919,1,0,0,1,0
000920,1,0,1,1,1
000921,1,0,1,1,0
000922,1,0,1,1,0
000923,1,0,0,1,0
000924,1,0,0,1,0
000925,1,0,1,1,0
000926,1,0,0,1,0
000927,1,0,1,1,0
000928,1,0,0,1,0
000929,1,0,1,1,0
000930,1,0,1,1,0
000931,1,0,1,1,0
000932,1,0,1,1,0
000933,1,0,1,1,0
000934,1,0,1,1,0
000935,1,0,1,1,0
000936,1,0,1,1,0
000937,1,0,1,1,0
000938,1,0,1,1,0
000939,1,0,0,1,0
000940,1,0,1,1,0
000941,1,0,1,1,0
000942,1,0,1,1,0
000943,1,0,1,1,0
000944,1,0,0,1,0
000945,1,0,1,1,0
000946,1,0,1,1,0
000947,1,0,1,1,0
000948,1,0,1,1,0
000949,1,0,0,1,0
000950,1,0,0,1,0
000951,1,0,1,1,0
000952,1,0,1,1,0
000953,1,0,1,1,0
000954,1,0,1,1,0
000955,1,1,1,1,0
000956,0,1,0,0,0
000957,1,1,0,1,0
000958,1,0,1,1,0
000959,1,0,1,1,0
000960,1,0,1,1,0
000961,1,0,0,1,0
000962,1,0,1,1,0
000963,1,0,1,1,0
000964,1,0,0,0,0
000965,1,0,0,1,0
000966,1,0,0,1,0
000967,1,0,0,1,0
000968,1,0,1,1,0
000969,1,0,1,1,0
000970,1,0,1,1,0
000971,1,0,1,1,0
000972,1,1,0,1,0
000973,1,1,1,1,0
000974,1,1,1,1,0
000975,1,1,0,1,0
000976,1,1,1,1,0
000977,1,1,0,1,0
000978,1,1,1,1,0
000979,1,1,0,1,0
000980,1,1,0,1,0
000981,1,1,1,1,0
000982,1,1,0,1,0
000983,1,1,1,1,0
000984,1,1,1,1,0
000985,0,1,1,1,0
000986,1,1,1,1,0
000987,1,1,1,1,0
000988,1,1,1,1,0
000989,1,1,1,1,0
000990,1,1,1,1,0
000991,1,1,0,1,0
000992,1,1,0,1,0
000993,1,1,0,1,0
000994,1,1,0,0,0
000995,1,1,1,1,0
000996,1,1,0,1,0
000997,1,1,0,1,0
000998,1,1,0,1,0
000999,1,1,0,1,0
001000,1,1,1,1,0
001001,1,1,1,1,0
001002,1,1,1,1,0
001003,1,1,1,1,0
001004,1,1,0,1,0
001005,1,1,0,1,0
001006,1,1,1,1,0
001007,1,1,0,1,0
001008,1,1,1,1,0
001009,1,1,1,1,0
001010,1,1,0,1,0
001011,1,1,0,1,0
001012,1,1,1,1,0
001013,0,1,0,0,0
001014,1,1,0,1,0
001015,1,1,0,1,0
001016,1,1,0,1,0
001017,1,1,0,1,0
001018,1,1,1,1,0
001019,1,1,0,1,0
001020,1,1,1,1,0
001021,1,1,1,1,0
001022,1,1,0,1,0
001023,1,1,1,1,0
001024,1,1,1,1,0
001025,1,1,1,1,0
001026,1,1,1,1,0
001027,1,1,0,1,0
001028,1,1,0,1,0
001029,1,1,1,1,0
001030,1,1,1,1,0
001031,1,1,1,1,0
001032,1,1,0,1,0
001033,1,1,0,1,0
001034,1,1,0,1,0
001035,1,1,1,1,0
001036,1,1,0,1,0
001037,1,1,1,1,0
001038,1,1,0,1,0
001039,1,1,1,1,0
001040,1,1,0,1,0
001041,1,1,1,1,0
001042,1,1,0,1,0
001043,1,1,1,1,0
001044,1,1,1,1,0
001045,0,1,0,1,0
001046,1,1,0,1,0
001047,1,1,0,1,0
001048,1,1,0,1,1
001049,1,1,0,1,0
001050,1,1,1,1,0
001051,1,1,0,1,0
001052,1,1,0,1,0
001053,1,1,1,1,0
001054,1,1,0,1,0
001055,1,1,0,1,0
001056,1,1,1,1,0
001057,0,1,0,1,0
001058,1,1,0,1,0
001059,0,1,0,1,0
001060,1,1,0,1,0
001061,1,1,0,0,0
001062,0,1,0,1,0
001063,1,1,0,1,0
001064,1,1,0,1,0
001065,0,1,1,1,0
001066,1,1,0,1,0
001067,0,1,0,1,0
001068,0,1,1,1,0
001069,0,1,0,1,0
001070,0,1,0,1,0
001071,0,1,0,1,0
001072,1,1,0,1,0
001073,1,1,1,0,0
001074,1,1,0,1,0
001075,1,1,0,1,0
001076,1,1,1,1,0
001077,1,1,0,1,0
001078,1,1,0,1,0
001079,1,1,1,1,0
001080,1,1,1,1,0
001081,1,1,0,1,0
001082,1,1,0,1,0
001083,1,1,1,1,0
001084,1,1,1,1,0
001085,0,1,0,1,0
001086,0,1,0,1,0
001087,0,1,1,1,0
001088,1,1,1,1,0
001089,1,1,0,1,0
001090,1,1,1,1,0
001091,1,1,0,1,0
001092,1,1,0,1,0
001093,1,1,0,1,0
001094,1,1,1,1,0
001095,1,1,0,0,0
001096,1,1,0,1,0
001097,1,1,0,0,0
001098,1,1,0,1,0
001099,1,1,0,1,0
001100,1,1,0,1,0
001101,0,1,0,0,0
001102,1,1,0,1,0
001103,1,1,0,1,0
001104,1,1,0,1,0
001105,0,1,1,1,0
001106,1,1,1,1,0
001107,0,1,0,1,0
001108,0,1,0,1,0
001109,0,1,0,1,0
001110,1,1,1,1,0
001111,1,1,0,0,0
001112,1,1,0,1,0
001113,1,1,0,0,0
001114,1,1,0,1,0
001115,1,1,0,1,0
001116,0,1,0,1,0
001117,1,1,0,0,0
001118,1,1,0,1,0
001119,1,1,0,1,0
001120,1,1,0,1,0
001121,1,1,1,1,0
001122,1,1,1,1,0
001123,1,1,1,1,0
001124,1,1,0,1,0
001125,1,1,0,1,0
001126,1,1,0,1,0
001127,1,1,1,1,0
001128,1,1,1,1,0
001129,1,1,0,1,0
001130,1,1,1,1,0
001131,1,1,1,1,0
001132,1,1,0,1,0
001133,1,1,0,1,0
001134,1,1,1,1,0
001135,1,1,0,1,0
001136,1,1,0,1,0
001137,1,1,0,1,0
001138,1,1,1,1,1
001139,1,1,1,1,0
001140,1,1,0,1,0
001141,1,1,1,1,0
001142,,1,0,1,0
001143,,1,0,1,0
001144,0,1,0,1,0
001145,0,1,0,1,0
001146,0,1,0,1,0
001147,0,1,0,1,0
001148,0,1,0,1,0
001149,0,1,0,1,0
001150,0,1,0,1,0
001151,0,1,0,1,0
001152,0,1,0,1,0
001153,0,1,0,1,0
001154,0,1,0,1,0
001155,0,1,0,1,0
001156,0,1,0,1,0
001157,0,1,0,1,0
001158,0,1,0,1,0
001159,0,1,0,1,0
001160,0,1,0,1,0
001161,0,1,0,1,0
001162,0,1,0,1,0
001163,0,1,0,1,0
001164,0,1,0,1,0
001165,0,1,0,1,0
001166,0,1,0,1,0
001167,0,1,0,1,0
001168,0,1,0,1,0
001169,0,1,0,1,0
001170,0,1,0,1,0
001171,0,1,0,1,0
001172,0,1,0,1,0
001173,0,1,0,1,0
001174,0,1,0,1,0
001175,0,1,0,1,0
001176,0,1,0,1,0
001177,0,1,0,1,0
001178,0,1,0,1,0
001179,0,1,0,1,0
001181,0,1,0,1,0
001182,0,1,0,1,0
001183,0,1,0,1,0
001184,0,1,0,1,0
001185,0,1,0,1,0
001186,0,1,1,1,0
001187,0,1,0,1,0
001188,0,1,0,1,0
001189,0,1,0,1,0
001190,0,1,0,1,0
001191,0,1,0,1,0
001192,0,1,0,1,0
001193,0,1,0,1,0
001194,0,1,1,1,0
001195,0,1,0,1,0
001196,0,1,0,1,0
001197,0,1,0,1,0
001198,0,1,0,1,0
001199,0,1,0,1,0
001200,0,1,0,1,0
001201,0,1,0,1,0
001202,0,1,0,1,0
001203,0,1,0,1,0
001204,0,1,0,1,0
001205,0,1,0,1,0
001206,0,1,0,1,0
001207,0,1,0,1,0
001208,0,1,0,1,0
001209,0,1,0,1,0
001210,0,1,0,1,0
001211,0,1,0,1,0
001212,0,1,0,1,0
001213,0,1,0,1,0
001214,0,1,0,1,0
001215,0,1,0,1,0
001216,0,1,0,1,0
001217,0,1,0,1,0
001218,0,1,0,1,0
001219,0,1,0,1,0
001220,0,1,0,1,0
001221,0,1,0,1,0
001222,0,1,0,1,0
001223,0,1,0,1,0
001224,0,1,0,1,0
001225,0,1,0,1,1
001226,0,1,0,1,0
001227,0,1,0,1,0
001228,0,1,0,1,0
001229,0,1,0,1,0
001230,0,1,0,1,0
001231,0,1,0,1,0
001232,0,1,0,1,0
001233,0,1,0,1,0
001234,0,1,0,1,0
001235,0,1,0,1,0
001236,0,1,0,1,0
001237,0,1,0,1,0
001238,0,1,0,1,0
001239,0,1,0,1,0
001240,0,1,0,1,0
001241,0,1,0,1,0
001242,0,1,0,1,0
001243,0,1,0,1,0
001244,0,1,0,1,0
001245,0,1,0,1,0
001246,0,1,0,1,0
001247,0,1,0,1,0
001248,0,1,0,1,0
001249,0,1,0,1,0
001250,0,1,0,1,0
001251,0,1,0,1,0
001252,0,1,0,1,0
001253,0,1,0,1,0
001254,0,1,0,1,0
001255,0,1,0,1,0
001256,0,1,0,1,0
001257,0,1,0,1,0
001258,0,1,0,1,0
001259,0,1,0,1,0
001260,0,1,0,1,0
001261,0,1,0,1,0
001262,0,1,0,1,0
001263,0,1,0,1,0
001264,0,1,0,1,0
001265,0,1,0,1,0
001266,0,1,0,1,0
001267,0,1,0,1,0
001268,0,1,0,1,0
001269,0,1,0,1,0
001270,0,1,0,1,0
001271,0,1,0,1,0
001272,0,1,0,1,0
001273,0,1,0,1,0
001274,0,1,0,1,0
001275,0,1,0,1,0
001276,0,1,0,1,0
001277,0,1,0,1,0
001278,0,1,0,1,0
001279,0,1,0,1,0
001280,0,1,0,1,0
001281,0,1,0,1,0
001282,0,1,0,1,0
001283,0,1,0,1,0
001284,0,1,0,1,0
001285,0,1,0,1,0
001286,0,1,0,1,0
001287,0,1,0,1,0
001288,0,1,0,1,0
001289,0,1,0,1,0
001290,0,1,0,1,0
001291,0,1,0,1,0
001292,0,1,0,1,0
001293,0,1,0,1,0
001294,0,1,0,1,0
001295,0,1,0,1,0
001296,0,1,0,1,0
001297,0,1,0,1,0
001298,0,1,0,1,0
001299,0,1,0,1,0
001300,0,1,0,1,0
001301,0,1,0,1,0
001302,0,1,0,1,0
001303,0,1,0,1,0
001304,0,1,0,1,0
001305,0,1,0,1,0
001306,0,1,0,1,0
001307,0,1,0,1,0
001308,0,1,0,1,0
001309,0,1,0,1,0
001310,0,1,0,1,0
001311,0,1,0,1,0
001312,0,1,0,1,0
001313,0,1,0,1,0
001314,0,1,0,1,0
001315,0,1,0,1,0
001316,0,1,0,1,0
001317,0,1,0,1,0
001318,0,1,0,1,0
001319,0,1,0,1,0
001320,0,1,0,1,0
001321,0,1,0,1,0
001322,0,1,0,1,0
001323,0,1,0,1,0
001324,0,1,0,1,0
001325,0,1,0,1,0
001326,0,1,0,1,0
001327,0,1,0,1,0
001328,0,1,0,1,0
001329,0,1,0,1,0
001330,0,1,0,1,0
001331,0,1,0,1,0
001332,0,1,0,1,0
001333,0,1,0,1,0
001334,0,1,0,1,0
001335,0,1,0,1,0
001336,0,1,0,1,0
001337,0,1,0,1,0
001338,0,1,0,1,0
001339,0,1,0,1,0
001340,0,1,0,1,0
001341,0,1,0,1,0
001342,0,1,0,1,0
001343,0,1,0,1,0
001344,0,1,0,1,0
001345,0,1,0,1,0
001346,0,1,0,1,0
001347,0,1,0,1,0
001348,0,1,0,1,0
001349,0,1,0,1,0
001350,0,1,0,1,0
001351,0,1,0,1,0
001352,0,1,0,1,0
001353,0,1,0,1,0
001354,0,1,0,1,0
001355,0,1,0,1,0
001356,0,1,0,1,0
001357,0,1,0,1,0
001358,0,1,0,1,0
001359,0,1,0,1,0
001360,0,1,0,1,0
001361,0,1,0,1,0
001362,0,1,0,1,0
001363,0,1,0,1,0
001364,0,1,0,1,0
001365,0,1,0,1,0
001366,0,1,0,1,0
001367,0,1,0,1,0
001368,0,1,0,1,0
001369,0,1,0,1,0
001370,0,1,0,1,0
001371,0,1,0,1,0
001372,0,1,0,1,0
001373,0,1,0,1,0
001374,0,1,0,1,0
001375,0,1,0,1,0
001376,0,1,0,1,0
001377,0,1,0,1,0
001378,0,1,0,1,0
001379,0,1,0,1,0
001380,0,1,0,1,0
001381,0,1,0,1,0
001382,0,1,0,1,0
001383,0,1,0,1,0
001384,0,1,0,1,0
001385,0,1,0,1,0
001386,0,1,0,1,0
001387,0,1,0,1,0
001388,0,1,0,1,0
001389,0,1,0,1,0
001390,0,1,0,1,0
001391,0,1,0,1,0
001392,0,1,0,1,0
001393,0,1,0,1,0
001394,0,1,0,1,0
001395,0,1,0,1,0
001396,0,1,0,1,0
001397,0,1,0,1,0
001398,0,1,0,1,0
001399,0,1,0,1,0
001400,0,1,0,1,0
001401,0,1,0,1,0
001402,0,1,0,1,0
001403,0,1,0,1,0
001404,0,1,0,1,0
001405,0,1,0,1,0
001406,0,1,0,1,0
001407,0,1,0,1,0
001408,0,1,0,1,0
001409,0,1,0,1,0
001410,0,1,0,1,0
001411,0,1,0,1,0
001412,0,1,0,1,0
001413,0,1,0,1,0
001414,0,1,0,1,0
001415,0,1,0,1,0
001416,0,1,0,1,0
001417,0,1,0,1,0
001418,0,1,0,1,0
001419,0,1,0,1,0
001420,0,1,0,1,0
001421,0,1,0,1,0
001422,0,1,0,1,0
001423,0,1,0,1,0
001424,0,1,0,1,0
001425,0,1,0,1,0
001426,0,1,0,1,0
001427,0,1,1,1,0
001429,0,1,0,1,0
001430,0,1,0,1,0
001431,0,1,0,1,0
001432,0,1,0,1,0
001433,0,1,0,1,0
001434,0,1,0,1,0
001435,0,1,0,1,0
001436,0,1,0,1,0
001437,0,1,0,1,0
001438,0,1,0,1,0
001439,0,1,0,1,0
001440,0,1,0,1,0
001441,0,1,0,1,0
001442,0,1,0,1,0
001443,0,1,0,1,0
001444,0,1,0,1,0
001445,0,1,0,1,0
001446,0,1,0,1,0
001447,0,1,0,1,0
001448,0,1,0,1,0
001449,0,1,0,1,0
001450,0,1,0,1,0
001451,0,1,0,1,0
001452,0,1,0,1,0
001453,0,1,0,1,0
001454,0,1,0,1,0
001455,0,1,0,1,0
001456,0,1,0,1,0
001457,0,1,0,1,0
001458,0,1,0,1,0
001459,0,1,0,1,0
001460,0,1,0,1,0
001461,0,1,0,1,0
001462,0,1,0,1,0
001463,0,1,0,1,0
001464,0,1,0,1,0
001465,0,1,0,1,0
001466,0,1,0,1,0
001467,0,1,0,1,0
001468,0,1,0,1,0
001469,0,1,0,1,0
001470,0,1,0,1,0
001471,0,1,0,1,0
001472,0,1,0,1,0
001473,0,1,0,1,0
001474,0,1,0,1,0
001475,0,1,0,1,0
001476,0,1,0,1,0
001477,0,1,0,1,0
001478,0,1,0,1,0
001479,0,1,0,1,0
001480,0,1,0,1,0
001481,0,1,0,1,0
001482,0,1,0,1,0
001483,0,1,0,1,0
001484,0,1,0,1,0
001485,0,1,0,1,0
001486,0,1,0,1,0
001487,0,1,0,1,0
001488,0,1,0,1,0
001489,0,1,0,1,0
001490,0,1,0,1,0
001491,0,1,0,1,0
001492,0,1,0,1,0
001493,0,1,0,1,0
001494,0,1,0,1,0
001495,0,1,0,1,0
001496,0,1,0,1,0
001497,0,1,0,1,0
001498,0,1,0,1,0
001499,0,1,0,1,0
001500,0,1,0,1,0
001501,0,1,0,1,0
001502,0,1,0,1,0
001503,0,1,0,1,0
001504,0,1,0,1,0
001505,0,1,0,1,0
001506,0,1,0,1,0
001507,0,1,0,1,0
001508,0,1,0,1,0
001509,0,1,1,1,0
001510,0,1,0,1,0
001511,0,1,0,1,0
001512,0,1,0,1,0
001513,0,1,0,1,0
001514,0,1,0,1,0
001515,0,1,0,1,0
001516,0,1,0,1,0
001517,0,1,0,1,0
001518,0,1,0,1,0
001519,0,1,0,1,0
001520,0,1,0,1,0
001521,0,1,0,1,0
001522,0,1,0,1,0
001523,0,1,0,1,0
001524,0,1,0,1,0
001525,0,1,0,1,0
001526,0,1,0,1,0
001527,0,1,0,1,0
001528,0,1,0,1,0
001529,0,1,0,1,0
001530,0,1,0,1,0
001531,0,1,0,1,0
001532,0,1,0,1,0
001533,0,1,0,1,0
